epoch,step,train_loss,val_loss
0,440,2.1934823989868164,2.151712656021118
1,881,2.041330099105835,2.180736541748047
2,1322,1.8415336608886719,1.5044585466384888
3,1763,1.2069759368896484,1.319114089012146
4,2204,1.0280307531356812,1.106924295425415
5,2645,0.9659250378608704,1.1360329389572144
6,3086,0.916135847568512,1.1761586666107178
7,3527,0.8894639611244202,1.1570032835006714
8,3968,0.8724685311317444,1.2803558111190796
9,4409,0.8542543053627014,1.2357451915740967
10,4850,0.8367614150047302,1.161332130432129
11,5291,0.8195784091949463,1.1127883195877075
12,5732,0.8100362420082092,1.1393589973449707
13,6173,0.8015326261520386,1.1001981496810913
