epoch,step,train_loss,val_loss
0,881,2.742126703262329,1.7441792488098145
1,1763,1.6914392709732056,1.4117169380187988
2,2645,1.4534839391708374,1.2192691564559937
3,3527,1.2961235046386719,1.0612926483154297
4,4409,1.1784297227859497,0.9714046716690063
5,5291,1.091876745223999,0.9000555872917175
6,6173,1.0288283824920654,0.8533521294593811
7,7055,0.9769818186759949,0.8080196380615234
8,7937,0.9333505034446716,0.7708436250686646
9,8819,0.8979196548461914,0.7493363618850708
10,9701,0.8681438565254211,0.7225474715232849
11,10583,0.8415159583091736,0.7032716274261475
12,11465,0.8202658891677856,0.6901945471763611
13,12347,0.8004257082939148,0.678307294845581
14,13229,0.7831659317016602,0.6610028147697449
15,14111,0.7665087580680847,0.6502789855003357
16,14993,0.7542641758918762,0.642402172088623
17,15875,0.7407131195068359,0.6339515447616577
18,16757,0.731464684009552,0.623866081237793
19,17639,0.7189337611198425,0.619358479976654
20,18521,0.7095575928688049,0.6107038855552673
