epoch,step,train_loss,val_loss
0,881,2.5474934577941895,3.1219935417175293
1,1763,2.4469833374023438,3.891430139541626
2,2645,2.3539373874664307,2.274263381958008
3,3527,1.7071270942687988,1.372276782989502
4,4409,1.2608147859573364,1.2859786748886108
5,5291,1.1637219190597534,1.3512471914291382
6,6173,1.1177910566329956,1.3685517311096191
7,7055,1.089830994606018,1.348310947418213
8,7937,1.0691657066345215,1.4268437623977661
9,8819,1.0531970262527466,1.325012445449829
10,9701,1.0402275323867798,1.3174270391464233
11,10583,1.0260931253433228,1.3628650903701782
12,11465,1.0160471200942993,1.4209027290344238
13,12347,1.0063141584396362,1.4142518043518066
