epoch,step,train_loss,val_loss
0,440,1.9275779724121094,1.2009273767471313
1,881,0.9777070879936218,0.6277288794517517
2,1322,0.6889737248420715,0.4888451397418976
3,1763,0.580887496471405,0.419421911239624
4,2204,0.5196628570556641,0.3847498297691345
5,2645,0.47843265533447266,0.360084593296051
6,3086,0.4506084620952606,0.34940245747566223
7,3527,0.42839109897613525,0.3273179233074188
8,3968,0.4115784764289856,0.3248911201953888
9,4409,0.39691752195358276,0.3212926387786865
10,4850,0.3871457278728485,0.31926828622817993
11,5291,0.3772538900375366,0.3180507719516754
