epoch,step,train_loss,val_loss
0,440,3.194082498550415,1.8915926218032837
1,881,1.8018684387207031,1.5261578559875488
2,1322,1.5361809730529785,1.3171682357788086
3,1763,1.3791742324829102,1.187103033065796
4,2204,1.266344428062439,1.0630358457565308
5,2645,1.1672554016113281,0.9583489894866943
6,3086,1.0797085762023926,0.865466296672821
7,3527,1.0018467903137207,0.7951246500015259
8,3968,0.9388955235481262,0.7412986755371094
9,4409,0.8863798379898071,0.7003427147865295
10,4850,0.8442966341972351,0.6623889207839966
11,5291,0.8056429624557495,0.6300190687179565
12,5732,0.7719393372535706,0.6002001762390137
13,6173,0.742707371711731,0.5744919180870056
14,6614,0.715399980545044,0.5484979748725891
15,7055,0.6893290281295776,0.526099443435669
16,7496,0.6676105260848999,0.5093462467193604
17,7937,0.6469318866729736,0.4942076802253723
18,8378,0.6294016242027283,0.474576473236084
19,8819,0.6108146905899048,0.46211493015289307
20,9260,0.5940083861351013,0.4501914083957672
21,9701,0.581153392791748,0.4401850700378418
22,10142,0.5675753355026245,0.4310653507709503
23,10583,0.5561473965644836,0.41948676109313965
24,11024,0.5431323647499084,0.41142627596855164
25,11465,0.531033992767334,0.4053654372692108
26,11906,0.5213715434074402,0.3970819115638733
27,12347,0.5122109651565552,0.3883247673511505
