epoch,step,train_loss,val_loss
0,881,1.6673537492752075,1.1587365865707397
1,1763,1.1828705072402954,0.939531683921814
2,2645,1.0306929349899292,0.8337245583534241
3,3527,0.9379432201385498,0.7645590305328369
4,4409,0.8741921782493591,0.7228643894195557
5,5291,0.8252773284912109,0.6955053210258484
6,6173,0.7885426878929138,0.6509211659431458
7,7055,0.7601519227027893,0.625869631767273
8,7937,0.7340937852859497,0.6213566660881042
9,8819,0.7144119739532471,0.596934974193573
10,9701,0.6963710784912109,0.5799086093902588
11,10583,0.680226743221283,0.5756852626800537
12,11465,0.6671716570854187,0.5682547092437744
13,12347,0.6544920802116394,0.5457746982574463
14,13229,0.6441337466239929,0.5379254817962646
15,14111,0.6339796781539917,0.5283639430999756
